org name,brooklyn,bronx,manhattan,queens,statenisland,brooklyn neighborhoods,bronx neighborhoods,manhattan neighborhoods,queens neighborhoods,staten island neighborhoods,accepting - open,accepting - limited,accepting - closed,target population,grades served,services offered,response id,orgphone,addressone,addresstwo,city,state,zip,program description
CUNY - Research Foundation of CUNY,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,"Academic Performance,Disconnected youth/Out of school youth,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",41005269,718-254-7179,16 Court Street,3rd Floor,Brooklyn,NY,11241,"LINCT to Success is a college access, transition and success program that strives to increase college success rates by restructuring the HS senior year through literacy, math and college access and success instruction, and college placement testing, and by integrating additional social supports to smooth the transition into and through college."
CUNY,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,"Academic Performance,English language learners,First generation college students,","Elementary school (K-5),High School (9-12),","College Readiness,College Retention,Career Preparation,",40998584,718-254-7196,16 Court Street,,Brooklyn,NY,11201,"College Now, CUNY\'s largest collaborative program with the NYC Department of Education (NYCDOE), offers a variety of activities to support the transition to college, including dual enrollment college credit courses for eligible students, academic college readiness courses for students not yet eligible for college credit work, and college awareness activities to raise students\' knowledge about pursuing post-secondary education.  We offer course at the high school and on CUNY college campuses."
CUNY Collaborative Programs,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,"Academic Performance,First generation college students,",",High School (9-12),","College Readiness,",40422052,718-254-7177,16 Court Street,Third Floor,Brooklyn,NY,11201,"College Now is CUNY\'s largest collaborative program with the New York City secondary public school system. The program offers dual enrollment and college-readiness programs in more than 400 NYC high schools and enrolls over 20,000 students annually. In all, there are seventeen campus-based College Now programs which are overseen by a central office. Although the program varies from school to school and campus to campus, they are similar in terms of overall structure, implementation and goals.



The goal of College Now, much like many dual enrollment programs, is to help students meet high school graduation requirements and prepare for success in college, both academically and socially."
Bottom Line,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,TRUE,",Poverty guidelines/socioeconomic status,First generation college students,",",College,",",College Matriculation,College Retention,",45384594,718-765-3317,44 Court Street ,Suite 300,Brooklyn ,NY,11201,"Bottom Line provides one on one, face to face counseling to students for up to 6 years or until they earn their college degree. We meet with students one on one primarily on their college campus (though some meetings and events take place in our office in Brooklyn). We currently support students at 18 target colleges, primarily SUNYs and CUNYs. We support students in 4 areas: Academics, Employability, Financial Aid and Life Skills."
"Chinese American Planning Council, Inc.",TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,",",High School (9-12),College,","College Readiness,",45271325,212-9410-0920 x126,150 Elizabeth Street,,New York,NY,10012,"Although our program office is based in Manhattan, we provide service to clients (high school students, immigrant students, adult learners and disconnected youth) who reside in the NY or NJ. We offer workshops in public HS, with consideration of location and time, and collaborative schedules. Parent workshops are currently facilitated in Cantonese, Mandarin and English."
CUNY,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,",High school equivalency,First generation college students,",",College,",",College Matriculation,College Retention,Career Preparation,",44466869,718-254-7283,16 Court Street,32nd Floor,Brooklyn,NY,11241,"Accelerated Study in Associate Programs (ASAP) provides financial, academic and personal supports to help students to stay on track and earn their degree as soon as possible. ASAP benefits include free unlimited MetroCards, textbook vouchers, tuition waivers (if applicable), personalized advisement, career development services, and academic support."
CUNY,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,Justice involved youth,",",College,","College Readiness,College Matriculation,College Retention,Career Preparation,",44280143,646-664-8184,555 West 57th Street ,10th Floor ,New York ,NY,10009,Academic and Social Counseling. Job Placement
A Better Chance,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,"Academic Performance,Racial or ethnic minorities,",",Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,Career Preparation,",42418873,646-346-1310,253 West 35th Street,6th Floor,New York,NY,10001,"A Better Chance is the oldest and only national organization of its kind changing the life trajectory for academically talented youth of color via access to rigorous and prestigious educational opportunities for students in grades 6-12.  Our mission is to increase substantially the number of well-educated young people of color who are capable of assuming positions of responsibility and leadership in American society.  We carry out our mission through our signature College Preparatory Schools Program, which annually recruits, refers and supports about 500 Scholars at more than 300 Member Schools in 27 states.  "
"Comprehensive Development, Inc.",TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,,,,39550355,212-353-2010,"Comprehensive Development, Inc",240 Second Avenue,New York,NY,10003,
America Needs You,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,,,,43700334,646-651-1593,589 8th Ave. ,5th Floor,New York,NY,10018,
PENCIL,TRUE,TRUE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,,"Elementary school (K-5),Middle school (6-8),High School (9-12),",,44507411,,30 west 26th st,5 floor,New York,NY,10010,
NYC Outward Bound Schools,TRUE,FALSE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint",,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,TRUE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",41738101,718-706-9900,29-46 Northern Blvd.,Floors 3 & 4,Queens,NY,11101,"We offer support for college counselors, college access curriculum development, near-peer mentoring trainings for high school and college students.  We also offer alumni programming and support.  CUNY Crew is a program serving 20 freshman at 4 community colleges."
Cornelia Connelly Center,TRUE,FALSE,TRUE,TRUE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint",,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven","South Beach,St. George,Tottenville",FALSE,FALSE,FALSE,"Academic Performance,Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,Gender",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",45195312,212-982-2287,220 East 4th Street,,New York,NY,10009,"GSP serves graduates of Connelly Middle School during their high school and college careers. GSP provides academic support including, but not limited to free SAT prep classes and tutoring for high school students; financial support for high school tuition and college stipends; college preparation support such as college visits, application assistance, financial aid workshops; mentorship program; high school and college placement support; academic advising for students in high school and college."
Queensborough Community College/CUNY,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,FALSE,FALSE,TRUE,"Academic Performance,Poverty guidelines/socioeconomic status,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",41408257,718-631-6605,16 Court Street,3rd Floor,Brooklyn,NY,11241,"We support students through their first year of college. We help with financial aid, registration, workshops on all different topics pertaining to college success, give out metro cards. Help find resources students may need though out the year."
Let's Get Ready,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",40511669,646-808-2765,50 Broadway,25th Floor,New York,NY,10004,We serve students from throughout the city - drawing students from almost all of these neighborhoods.
New York University,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,FALSE,FALSE,",English language learners,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),","College Readiness,College Matriculation,College Retention,",41836528,212-992-6728,196 Mercer Street,8th Floor,New York,NY,10012,"The NYU College Advising Corps (NYU CAC) aims to increase the number of low-income, first-generation, underrepresented high school students who enter and complete higher education.  NYU CAC places well-trained recent NYU graduates as full-time college advisers in high-need partner high schools to help students through all steps of the college application process.  Advisers work closely with school staff and administration to foster a college-going culture within the schools they serve. From navigating college admissions, to securing SAT/ACT waivers and assisting students and their families with financial aid and scholarships, our advisers become experts, mentors, and student advocates."
CUNY Graduation Success Initiative (GSI),TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,FALSE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,",",College,",",College Retention,",41510870,718-254-7264,555 W 57th Street,Floor 13,New York,NY,10019,"The Graduation Success Initiative (GSI) is a year-long, structured academic and personal support program designed to help motivated students graduate within one year. GSI is a program designed to support public assistance recipients\' completion of associate degrees."
CUNY,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,FALSE,TRUE,FALSE,"Academic Performance,English language learners,Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,First generation college students,",",Middle school (6-8),High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",42870344,718-254-7724 ,16 Court Street,,Brooklyn,NY,11241,"The Early College Initiative develops and supports innovative public schools across New York City that provide students from a broad range of backgrounds the opportunity to earn both a high school diploma and an associate degree. The schools are designed to support students who have been historically underrepresented in higher education. 

Each early college school is developed as a partnership with a CUNY college, offering a coherent program of study to ensure students' success in high school, college, and beyond."
New York University,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,TRUE,FALSE,,",College,",",College Retention,",43511869,212-998-5139,82 Washington Square E,2nd Floor,New York,NY,10003,CCTOP is a scholarship and advisement program for students transferring to NYU from 14 partner community colleges. 
